randomization1,covidtest,covidtestresult,randomization2,treatment
Navigation,Yes,Negative,,Brief Counseling
Navigation,Yes,Negative,,Brief Counseling
Navigation,Yes,Negative,,Brief Counseling
Navigation,Yes,Negative,,Brief Counseling
Navigation,Yes,Negative,,Brief Counseling
Navigation,Yes,Negative,,Brief Counseling
Navigation,Yes,Negative,,Brief Counseling
Navigation,Yes,Negative,,Brief Counseling
Navigation,Yes,Negative,,Brief Counseling
Navigation,Yes,Negative,,Brief Counseling
Navigation,Yes,Negative,,Brief Counseling
Navigation,Yes,Negative,,Brief Counseling
Navigation,Yes,Negative,,Brief Counseling
Navigation,Yes,Negative,,Brief Counseling
Navigation,Yes,Negative,,Brief Counseling
Navigation,Yes,Negative,,Brief Counseling
Navigation,Yes,Negative,,Brief Counseling
Navigation,Yes,Negative,,Brief Counseling
Navigation,Yes,Negative,,Brief Counseling
Navigation,Yes,Negative,,Brief Counseling
Navigation,Yes,Negative,,Brief Counseling
Navigation,Yes,Negative,,Brief Counseling
Navigation,Yes,Negative,,Brief Counseling
Navigation,Yes,Negative,,Brief Counseling
Navigation,Yes,Negative,,Brief Counseling
Navigation,Yes,Negative,,Brief Counseling
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Brief Counseling
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,Yes,Negative,,Navigation
Navigation,No,,,Critical Dialogue
Navigation,No,,,Critical Dialogue
Navigation,No,,,Critical Dialogue
Navigation,No,,,Navigation
Navigation,No,,,Navigation
Navigation,No,,,Navigation
Navigation,No,,,Navigation
Navigation,No,,,Critical Dialogue
Navigation,No,,,Critical Dialogue
Navigation,No,,,Critical Dialogue
Navigation,No,,,Navigation
Navigation,No,,,Navigation
Navigation,No,,,Navigation
Navigation,No,,,Critical Dialogue
Navigation,No,,,Critical Dialogue
Navigation,No,,,Navigation
Navigation,No,,,Critical Dialogue
Navigation,No,,,Navigation
Navigation,No,,,Navigation
Navigation,No,,,Critical Dialogue
Navigation,No,,,Navigation
Navigation,No,,,Navigation
Navigation,No,,,Navigation
Navigation,No,,,Navigation
Navigation,No,,,Navigation
Navigation,No,,,Navigation
Navigation,No,,,Navigation
Navigation,No,,,Navigation
Navigation,No,,,Navigation
Navigation,No,,,Navigation
Navigation,No,,,Navigation
Navigation,No,,,Navigation
Navigation,No,,,Navigation
Navigation,No,,,Navigation
Navigation,No,,,Navigation
Navigation,No,,,Navigation
Navigation,No,,,Navigation
Navigation,No,,,Navigation
Navigation,No,,,Navigation
Navigation,No,,,Navigation
Navigation,No,,,Navigation
Navigation,No,,,Critical Dialogue
Navigation,No,,,Critical Dialogue
Navigation,No,,,Navigation
Navigation,No,,,Critical Dialogue
Navigation,No,,,Navigation
Navigation,No,,,Navigation
Navigation,No,,,Navigation
Navigation,No,,,Critical Dialogue
Navigation,No,,,Navigation
Navigation,No,,,Critical Dialogue
Navigation,No,,,Critical Dialogue
Navigation,No,,,Critical Dialogue
Navigation,No,,,Critical Dialogue
Navigation,No,,,Critical Dialogue
Navigation,No,,,Navigation
Navigation,No,,,Navigation
Navigation,No,,,Critical Dialogue
Navigation,No,,,Critical Dialogue
Navigation,No,,,Critical Dialogue
Navigation,No,,,Critical Dialogue
Navigation,No,,,Critical Dialogue
Navigation,No,,,Critical Dialogue
Navigation,No,,,Critical Dialogue
Navigation,No,,,Critical Dialogue
Navigation,No,,,Critical Dialogue
Navigation,No,,,Critical Dialogue
Navigation,No,,,Navigation
Navigation,No,,,Critical Dialogue
Navigation,No,,,Navigation
Navigation,No,,,Navigation
Navigation,No,,,Critical Dialogue
Navigation,No,,,Critical Dialogue
Navigation,No,,,Navigation
Navigation,No,,,Navigation
Navigation,No,,,Navigation
Navigation,No,,,Critical Dialogue
Navigation,No,,,Critical Dialogue
Navigation,No,,,Navigation
Navigation,No,,,Critical Dialogue
Navigation,No,,,Critical Dialogue
Navigation,No,,,Navigation
Navigation,No,,,Other
Navigation,No,,,Other
Navigation,No,,,Other
Navigation,No,,,Other
Navigation,No,,,Other
Navigation,No,,,Other
Navigation,No,,,Other
Navigation,No,,,Other
Navigation,No,,,Other
Navigation,No,,,Other
Navigation,No,,,Other
Navigation,No,,,Other
Navigation,No,,,Other
Navigation,No,,,Other
Navigation,No,,,Other
Navigation,No,,,Other
Navigation,No,,,Other
Navigation,No,,,Other
Navigation,No,,,Other
Navigation,No,,,Other
Navigation,No,,,Other
Navigation,No,,,Other
Navigation,No,,,Other
Navigation,No,,,Other
Navigation,No,,,Other
Navigation,No,,,Other
Navigation,No,,,Other
Navigation,No,,,Other
Navigation,No,,,Other
Navigation,No,,,Other
Navigation,No,,,Other
Navigation,No,,,Other
Navigation,No,,,Other
Navigation,No,,,Other
Navigation,No,,,Other
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brief Counseling
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brief Counseling
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brief Counseling
Referral,Yes,Negative,,Brief Counseling
Referral,Yes,Negative,,Brief Counseling
Referral,Yes,Negative,,Brief Counseling
Referral,Yes,Negative,,Brief Counseling
Referral,Yes,Negative,,Brief Counseling
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brief Counseling
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brief Counseling
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brief Counseling
Referral,Yes,Negative,,Brief Counseling
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brief Counseling
Referral,Yes,Negative,,Brief Counseling
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brief Counseling
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brief Counseling
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brief Counseling
Referral,Yes,Negative,,Brief Counseling
Referral,Yes,Negative,,Brief Counseling
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Brochure
Referral,Yes,Negative,,Other
Referral,Yes,Negative,,Other
Referral,Yes,Negative,,Other
Referral,Yes,Negative,,Other
Referral,Yes,Negative,,Other
Referral,Yes,Negative,,Other
Referral,Yes,Negative,,Other
Referral,Yes,Negative,,Other
Referral,Yes,Negative,,Other
Referral,Yes,Negative,,Other
Referral,Yes,Negative,,Other
Referral,Yes,Negative,,Other
Referral,Yes,Negative,,Other
Referral,Yes,Negative,,Other
Referral,Yes,Negative,,Other
Referral,Yes,Negative,,Other
Referral,Yes,Negative,,Other
Referral,Yes,Negative,,Other
Referral,Yes,Negative,,Other
Referral,Yes,Negative,,Other
Referral,Yes,Negative,,Other
Referral,Yes,Negative,,Other
Referral,Yes,Negative,,Other
Referral,Yes,Negative,,Other
Referral,Yes,Negative,,Other
Referral,Yes,Negative,,Other
Referral,Yes,Negative,,Other
Referral,Yes,Negative,,Other
Referral,Yes,Negative,,Other
Referral,Yes,Negative,,Other
Referral,Yes,Negative,,Other
Referral,Yes,Negative,,Other
Referral,Yes,Negative,,Other
Referral,Yes,Negative,,Other
Referral,Yes,Negative,,Other
Referral,Yes,Negative,,Other
Referral,Yes,Negative,,Other
Referral,Yes,Negative,,No treatment
Referral,Yes,Negative,,No treatment
Referral,Yes,Negative,,No treatment
Referral,Yes,Negative,,No treatment
Referral,Yes,Negative,,No treatment
Referral,Yes,Negative,,No treatment
Referral,Yes,Negative,,No treatment
Referral,Yes,Negative,,No treatment
Referral,Yes,Negative,,No treatment
Referral,Yes,Negative,,No treatment
Referral,Yes,Negative,,No treatment
Referral,Yes,Negative,,No treatment
Referral,Yes,Negative,,No treatment
Referral,Yes,Negative,,No treatment
Referral,Yes,Negative,,No treatment
Referral,Yes,Negative,,No treatment
Referral,Yes,Negative,,No treatment
Referral,Yes,Negative,,No treatment
Referral,Yes,Negative,,No treatment
Referral,Yes,Negative,,No treatment
Referral,Yes,Negative,,No treatment
Referral,Yes,Negative,,No treatment
Referral,Yes,Negative,,No treatment
Referral,Yes,Negative,,No treatment
Referral,Yes,Negative,,No treatment
Referral,Yes,Negative,,No treatment
Referral,Yes,Negative,,No treatment
Referral,Yes,Negative,,No treatment
Referral,Yes,Negative,,No treatment
Referral,Yes,Negative,,No treatment
Referral,Yes,Negative,,No treatment
Referral,Yes,Negative,,No treatment
Referral,Yes,Negative,,No treatment
Referral,No,,,Critical Dialogue
Referral,No,,,Critical Dialogue
Referral,No,,,Brochure
Referral,No,,,Critical Dialogue
Referral,No,,,Brochure
Referral,No,,,Brochure
Referral,No,,,Critical Dialogue
Referral,No,,,Critical Dialogue
Referral,No,,,Brochure
Referral,No,,,Critical Dialogue
Referral,No,,,Brochure
Referral,No,,,Critical Dialogue
Referral,No,,,Brochure
Referral,No,,,Brochure
Referral,No,,,Brochure
Referral,No,,,Brochure
Referral,No,,,Critical Dialogue
Referral,No,,,Critical Dialogue
Referral,No,,,Critical Dialogue
Referral,No,,,Critical Dialogue
Referral,No,,,Critical Dialogue
Referral,No,,,Brochure
Referral,No,,,Critical Dialogue
Referral,No,,,Critical Dialogue
Referral,No,,,Brochure
Referral,No,,,Brochure
Referral,No,,,Brochure
Referral,Yes,Positive,,Alternative
Referral,Yes,Positive,,Alternative
Referral,Yes,Positive,,Alternative
Referral,Yes,Positive,,Alternative
Referral,Yes,Positive,,Alternative
Referral,Yes,Positive,,Alternative
Referral,Yes,Positive,,Alternative
Referral,Yes,Positive,,Alternative
Referral,Yes,Positive,,Alternative
Referral,Yes,Positive,,Alternative
Referral,Yes,Positive,,Alternative
Referral,Yes,Positive,,Alternative
Referral,Yes,Positive,,Alternative
Referral,Yes,Positive,,Alternative
Referral,Yes,Positive,,Alternative
Referral,Yes,Positive,,Alternative
Referral,Yes,Positive,,Alternative
Referral,Yes,Positive,,Alternative
Referral,Yes,Positive,,Alternative
Referral,Yes,Positive,,Alternative
Referral,Yes,Positive,,Alternative
Referral,Yes,Positive,,Alternative
Referral,Yes,Positive,,Alternative
Referral,Yes,Positive,,Alternative
Referral,Yes,Positive,,Alternative
Referral,Yes,Positive,,Alternative
Referral,Yes,Positive,,Alternative
Referral,Yes,Positive,,Alternative
Referral,Yes,Positive,,Alternative
Referral,Yes,Positive,,Alternative
Referral,Yes,Positive,,Alternative
Referral,Yes,Positive,,Alternative
Referral,Yes,Positive,,Alternative
Referral,Yes,Positive,,Alternative
Referral,Yes,Positive,,Alternative
Referral,Yes,Positive,,Alternative
Referral,Yes,Positive,,Alternative
Referral,Yes,Positive,,Alternative
Referral,Yes,Positive,,Alternative
Referral,Yes,Positive,,Alternative
Referral,Yes,Positive,,Alternative
Referral,Yes,Positive,,Alternative
Referral,Yes,Positive,,Alternative
Referral,Yes,Positive,,Alternative
Referral,Yes,Positive,,Alternative
Referral,Yes,Positive,,Alternative
Referral,Yes,Positive,,Alternative
Referral,Yes,Positive,,Alternative
Referral,Yes,Positive,,Alternative
Referral,Yes,Positive,,Alternative
Referral,Yes,Positive,,Alternative
Referral,Yes,Positive,,Alternative
Referral,Yes,Positive,,Alternative
Referral,Yes,Positive,,SecondAlternative
Referral,Yes,Positive,,SecondAlternative
Referral,Yes,Positive,,SecondAlternative
Referral,Yes,Positive,,SecondAlternative
Referral,Yes,Positive,,SecondAlternative
Referral,Yes,Positive,,SecondAlternative
Referral,Yes,Positive,,SecondAlternative
Referral,Yes,Positive,,SecondAlternative
Referral,Yes,Positive,,SecondAlternative
Referral,Yes,Positive,,SecondAlternative
Referral,Yes,Positive,,SecondAlternative
Referral,Yes,Positive,,SecondAlternative
Referral,Yes,Positive,,SecondAlternative
Referral,Yes,Positive,,SecondAlternative
Referral,Yes,Positive,,SecondAlternative
Referral,Yes,Positive,,SecondAlternative
Referral,Yes,Positive,,SecondAlternative
Referral,Yes,Positive,,SecondAlternative
Referral,Yes,Positive,,SecondAlternative
Referral,Yes,Positive,,SecondAlternative
Referral,Yes,Positive,,SecondAlternative
Referral,Yes,Positive,,SecondAlternative
Referral,Yes,Positive,,SecondAlternative
Referral,Yes,Positive,,SecondAlternative
Referral,Yes,Positive,,SecondAlternative
Referral,Yes,Positive,,SecondAlternative
Referral,Yes,Positive,,SecondAlternative
Referral,Yes,Positive,,SecondAlternative
Referral,Yes,Positive,,SecondAlternative
Referral,Yes,Positive,,SecondAlternative
Referral,Yes,Positive,,SecondAlternative
Referral,Yes,Positive,,SecondAlternative
Referral,Yes,Positive,,SecondAlternative
Referral,Yes,Positive,,SecondAlternative
Referral,Yes,Positive,,SecondAlternative
Referral,Yes,Positive,,SecondAlternative
Referral,Yes,Positive,,SecondAlternative
Referral,Yes,Positive,,SecondAlternative
Referral,Yes,Positive,,SecondAlternative
Referral,Yes,Positive,,SecondAlternative
Referral,Yes,Positive,,SecondAlternative
Referral,Yes,Positive,,SecondAlternative
Referral,Yes,Positive,,SecondAlternative
Referral,Yes,Positive,,SecondAlternative
Referral,Yes,Positive,,SecondAlternative
Referral,Yes,Positive,,SecondAlternative
Referral,Yes,Positive,,SecondAlternative
Referral,Yes,Positive,,SecondAlternative
Referral,Yes,Positive,,SecondAlternative
Referral,Yes,Positive,,SecondAlternative
Referral,Yes,Positive,,SecondAlternative
Referral,Yes,Positive,,SecondAlternative
Referral,Yes,Positive,,SecondAlternative
Referral,Yes,Positive,,SecondAlternative
Referral,Yes,Positive,,SecondAlternative
Referral,Yes,Positive,,SecondAlternative
Referral,Yes,Positive,,SecondAlternative
Referral,Yes,Positive,,SecondAlternative
